user_id,gid
User8,24117656
User8,24131698
User8,24188295
User8,24286154
User8,24346056
User8,24468854
User8,24672071
User8,24714686
User8,24781197
User8,24983848
User8,25027297
User8,25150682
User8,25236715
User8,25300306
User8,25345164
User8,25359802
User8,25408609
User8,25415506
User8,25443417
User8,25489525
User8,25494844
User8,25527777
User8,25672477
User8,25691600
User8,25784437
User8,25796704
User8,25823885
User8,25841111
User8,25955457
User8,26081863
User8,26144647
User8,26262094
User8,26300556
User8,26371115
User8,26410284
User8,26435485
User8,26488029
User8,26542738
User8,26756900
User8,26837349
User8,27041073
User8,27148624
User8,27903800
User8,28512087
User9,3703047
User9,4741524
User9,11463788
User9,12064364
User9,25588535
User9,25883387
User9,27971017
User9,28999791
User9,30099137
User9,30099268
User9,30099695
User9,30100203
User9,30100818
User9,30121930
User9,30123034
User9,30123059
User9,30140405
User9,30140533
User9,30141199
User9,31280850
User9,32901065
User10,3185176
User10,4239806
User10,4458711
User10,4786260
User10,5039367
User10,5115552
User10,6112039
User10,6201122
User10,6979246
User10,7167848
User10,10077269
User10,10188796
User10,10396627
User10,12064364
User11,4741524
User11,4857785
User11,5195189
User11,5635721
User11,5979366
User11,6607207
User11,7871885
User11,7872286
User11,9254464
User11,10408339
User11,10639590
User11,10676218
User11,10724060
User11,11527247
User11,11695046
User11,12088269
User11,23035166
User11,25057159
User11,25588535
User11,27006823
User11,27032582
User11,32748159
User11,41034836
User12,554111
User12,5377070
User12,6201122
User12,6307579
User12,9343642
User12,10141695
User12,24339192
User12,25474938
User12,33392549
User12,34893669
User12,36744137
User12,38402580
User12,39610749
User13,439486
User13,658107
User13,1226491
User13,2255070
User13,3739132
User13,3860585
User13,4264294
User13,4733337
User13,9312586
User13,9729562
User13,25786097
User13,32769438
User13,34310381
User13,34405513
User13,40242546
User13,45101892
User14,434
User14,12455
User14,148845
User14,1528357
User14,3284297
User14,8725520
User14,10124637
User14,10639590
User14,12737368
User14,25052068
User14,25300306
User14,27190084
User14,27496478
User14,27629903
User14,28826170
User14,32264652
User14,32486372
User14,33985583
User14,35306100
User14,36586905
User14,36626534
User14,37609319
User14,39091816
User14,42392173
User15,5452
User15,590561
User15,746716
User15,3952636
User15,4128336
User15,4158188
User15,4264294
User15,4376531
User15,4458711
User15,5946196
