user_id,steamid,profilestate,personaname,avatarfull,personastate,realname,primaryclanid,timecreated,loccountrycode,locstatecode
User1647,76561198078597219,1.0,Jisoo 3,https://avatars.steamstatic.com/528a4c841814ed116a39ca9262ec3fedc769ca27_full.jpg,0.0,Blackpink!,1.0358279143510248e+17,1355716235.0,VN,52
User1648,76561198083941877,1.0,Николай Сергей420,https://avatars.steamstatic.com/5de370e841f9929c9050b6d2a645a8f6f772e075_full.jpg,1.0,,1.0358279146344491e+17,1360918003.0,SG,
User1649,76561198085161963,1.0,๖ۣۜNaimeeeϟ,https://avatars.steamstatic.com/0f3457e6940f1a222842d5c3e4ccf28f9e51a6ee_full.jpg,0.0,,1.0358279143467256e+17,1362196772.0,,
User1650,76561198091913725,1.0,00,https://avatars.steamstatic.com/f694a43d79eff9113012f262cb397c3835c831a5_full.jpg,0.0,Đặng Hoàng Nam,1.0358279147155502e+17,1369056239.0,VN,51
User1651,76561198093072649,1.0,Andyy,https://avatars.steamstatic.com/b2a734431d40a6c110b7c09b1b3b65ad5819c79f_full.jpg,0.0,You will never know who i am.,1.035827914295214e+17,1369982469.0,VN,
User1652,76561198093880824,1.0,Quantonik,https://avatars.steamstatic.com/6b849102dc7b2fc0e2ade24049c61d183cb27b0e_full.jpg,1.0,LCD,1.0358279143904589e+17,1370691535.0,US,
User1653,76561198094144441,1.0,Anhtaphe,https://avatars.steamstatic.com/4290f7c16da72a80387c7d44a72125a00ef2803e_full.jpg,0.0,,,,,
User1654,76561198095448707,1.0,Ame666,https://avatars.steamstatic.com/be03e6f1a66d8fa46987a32cff6e1bbfea9ad29e_full.jpg,0.0,Pham Nhat Huy (28),1.035827914295214e+17,1372063061.0,VN,13
User1655,76561198096148971,1.0,Covid 19,https://avatars.steamstatic.com/3df2c968dc6788348c242883f450f69a09933d71_full.jpg,0.0,Khánh Duy,1.03582791438864e+17,1372677564.0,LA,10
User1656,76561198096244182,1.0,Natasha Romanoff,https://avatars.steamstatic.com/b1ade7434a1c921c95d7af520d921b7791a2bc0c_full.jpg,0.0,Natasha Romanoff,1.0358279145752435e+17,1372725478.0,RU,48
User1657,76561198098038173,1.0,MrSk Kanami,https://avatars.steamstatic.com/d8ded30ad5aacba303fef778d68081db1cfa5155_full.jpg,1.0,Hitokiri Reikon,1.035827914706983e+17,1373876137.0,VN,30
User1658,76561198098302089,1.0,Canyon,https://avatars.steamstatic.com/704ffb16d0510319b62ea2822df762f143d32f0b_full.jpg,0.0,,1.0358279143426293e+17,1374036203.0,CX,
User1659,76561198098612420,1.0,RoggeR,https://avatars.steamstatic.com/c2177caea549bb847d5c57b652588951ff17ab4f_full.jpg,0.0,Sơn Trần,1.0358279143344872e+17,1374212434.0,,
User1660,76561198100197112,1.0,Erik ten Hag,https://avatars.steamstatic.com/63a0d0a8ac8582b665edf6a826d281b0f8459ed7_full.jpg,3.0,Zedderino,1.0358279143919862e+17,1374905921.0,NL,15
User1661,76561198100388055,1.0,Penguin on the way,https://avatars.steamstatic.com/de9259f42418afd630ac30e244aec3cccfe99b3d_full.jpg,0.0,Jonhson Baby,1.0358279147275072e+17,1375006182.0,GB,C3
User1662,76561198100510644,1.0,Không Hiểu,https://avatars.steamstatic.com/7001f4b287941e0c605e8e6dd2e8a28399bc9b7d_full.jpg,0.0,,1.0358279143383258e+17,1375063130.0,,
User1663,76561198101181271,1.0,zXx,https://avatars.steamstatic.com/837d0f8d2340f3d6ab2cd9722de6bcc10b00e9ee_full.jpg,0.0,NNH,1.035827914295214e+17,1375452329.0,AU,
User1664,76561198103652611,1.0,Bâu,https://avatars.steamstatic.com/469e36500e1790803151187fa8d88e19cfba118e_full.jpg,0.0,Nam Bau,1.0358279144033554e+17,1376972540.0,VN,51
User1665,76561198106007867,1.0,Hikaru,https://avatars.steamstatic.com/16a694af9cd0f0d536339b7044b2fa1ce39542ca_full.jpg,0.0,gankuo hikaru,1.0358279145917514e+17,1378397284.0,JP,40
User1666,76561198106398952,1.0,chinese are all trash dog,https://avatars.steamstatic.com/09e64aee9a10d9016021a0d315be5e1e0c3f2cbc_full.jpg,0.0,,1.0358279146466534e+17,1378660278.0,,
User1667,76561198107621618,1.0,doan xem,https://avatars.steamstatic.com/1e2d9d6ff3a02ff0ea053e169fe7efdd772db292_full.jpg,0.0,,1.0358279146585294e+17,1379506601.0,VN,51
User1668,76561198108298346,1.0,R0ckabYE,https://avatars.steamstatic.com/c584bfe98859483343d48e8a59c136d298d9970b_full.jpg,0.0,Van Nguyen Le,1.0358279143903915e+17,1380009212.0,VN,52
User1669,76561198108549668,1.0,Qkk,https://avatars.steamstatic.com/b3fa1f51c1b062edf20f740cfdbf3b7c79aa490c_full.jpg,0.0,,1.03582791433507e+17,1380186397.0,GB,
User1670,76561198108556963,1.0,,https://avatars.steamstatic.com/ad56d523688c39f8316b0239124d72fd894be051_full.jpg,1.0,,1.035827914295214e+17,1380178146.0,,
User1671,76561198109115274,1.0,Lào Cai Buôn Pháo,https://avatars.steamstatic.com/5bf332ce5d1d494f1bf027c43d349c39ec1103ed_full.jpg,1.0,,1.0358279146358835e+17,1380534310.0,VN,64
User1672,76561198109130130,1.0,r1n,https://avatars.steamstatic.com/9c987df1c385623a471e2ca47def0aa859263461_full.jpg,0.0,RiN,1.0358279143651198e+17,1380543498.0,,
