steamid,communityvisibilitystate,profilestate,personaname,commentpermission,profileurl,avatarfull,personastate,realname,primaryclanid,timecreated,personastateflags,loccountrycode,locstatecode,loccityid,gameextrainfo,gameid,lobbysteamid,gameserverip,gameserversteamid,response
76561198306530488,3.0,1.0,Linh Điếc,2.0,https://steamcommunity.com/id/Lynss777/,https://avatars.steamstatic.com/9b21c49bb7e37cf2e176ff0c5a7d85d2acaab6a3_full.jpg,0.0,Tuấn Linh,103582791435722530,1464271993.0,0.0,VN,51,,,,,,,
76561198309386073,3.0,1.0,,,https://steamcommunity.com/profiles/76561198309386073/,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,0.0,,103582791429521408,1465497821.0,0.0,,,,,,,,,
76561198321761802,3.0,1.0,Not Koolz,1.0,https://steamcommunity.com/id/ko0lz02891/,https://avatars.steamstatic.com/0483dd03e9c9cdfae3af052f45d6f4f29f3957f2_full.jpg,0.0,,103582791430980814,1470000891.0,0.0,JP,40,26138.0,,,,,,
76561198331380646,3.0,1.0,NgogThanc07,1.0,https://steamcommunity.com/id/nkoclovechannel/,https://avatars.steamstatic.com/af005d18ad6f8fa6086358f269b5a235dc3d83ee_full.jpg,0.0,,103582791429521408,1473935719.0,0.0,VN,,,,,,,,
76561198336359964,3.0,1.0,Xì Trum,1.0,https://steamcommunity.com/id/xitrumgaming/,https://avatars.steamstatic.com/13d5b180f49308e8868085342b260d99b08a0c34_full.jpg,0.0,,103582791429521408,1475845043.0,0.0,VN,,,,,,,,
76561198358954441,3.0,1.0,MT,1.0,https://steamcommunity.com/profiles/76561198358954441/,https://avatars.steamstatic.com/0f13110227b753cafdfb5a693fdaf2211a434e35_full.jpg,0.0,❤️Gia Hân - Gia Bảo❤️,103582791455109943,1484406120.0,0.0,VN,64,,,,,,,
76561198381302196,3.0,1.0,ocvodit,,https://steamcommunity.com/profiles/76561198381302196/,https://avatars.steamstatic.com/36957a360aa06e19eb758ef142045e4069585e10_full.jpg,0.0,,103582791429521408,1492355758.0,0.0,VN,,,,,,,,
76561198388443220,3.0,1.0,bmz,2.0,https://steamcommunity.com/id/BOONGMINZGOTTALENT/,https://avatars.steamstatic.com/a353f05028023cbb2080785202ab0c28802c1975_full.jpg,0.0,ngoc nguyen,103582791429521408,1494259756.0,0.0,,,,,,,,,
76561198390055875,3.0,1.0,TrungViolin,1.0,https://steamcommunity.com/id/trungviolin/,https://avatars.steamstatic.com/16caa75b81e52118e043640358929322e6b4dd02_full.jpg,0.0,Nguyễn Đức Trung,103582791429521408,1495093063.0,0.0,VN,51,,,,,,,
76561198391391519,3.0,1.0,Vodka Quang,1.0,https://steamcommunity.com/id/vodkaquang/,https://avatars.steamstatic.com/820ab7e053aec1086319141391454b3e5241d258_full.jpg,0.0,Đỗ Thế Quang,103582791429521408,1495976484.0,0.0,VN,51,,,,,,,
76561198391879337,3.0,1.0,LMD,1.0,https://steamcommunity.com/profiles/76561198391879337/,https://avatars.steamstatic.com/4a0c48800b2dfd94e7d1fcb0b81657f394d02912_full.jpg,0.0,,103582791429521408,1495343589.0,0.0,,,,,,,,,
76561198392316172,3.0,1.0,AsinnT,1.0,https://steamcommunity.com/id/asinnt/,https://avatars.steamstatic.com/8efcc637a4397068cde03aee51df5180ac2c97cf_full.jpg,0.0,,103582791456251880,1496334042.0,0.0,,,,,,,,,
76561198392950473,3.0,1.0,kakasheesh,,https://steamcommunity.com/id/linhnhativ/,https://avatars.steamstatic.com/211a391aa83cd49e8326e3de60ec05fbc2a0448a_full.jpg,0.0,,103582791429521408,1496153390.0,0.0,,,,,,,,,
76561198394542194,2.0,1.0,Alicia,,https://steamcommunity.com/id/aliciameow/,https://avatars.steamstatic.com/e4353f9b1942d72826ec0bf6d8a9a2628ee7f3d5_full.jpg,0.0,,,,,,,,,,,,,
76561198397888013,3.0,1.0,dQHuy,,https://steamcommunity.com/id/dQHuy/,https://avatars.steamstatic.com/d431439226120ded41b0379c4ab9af149cd59552_full.jpg,1.0,,103582791429521408,1497671408.0,0.0,,,,,,,,,
76561198405629043,3.0,1.0,Toi Day,2.0,https://steamcommunity.com/id/snakeasian/,https://avatars.steamstatic.com/cc6a7fb2968d9afacf021ac03ff8a9c6d27a415a_full.jpg,0.0,,103582791429521408,1500353028.0,0.0,,,,,,,,,
76561198405637440,3.0,1.0,Cap,1.0,https://steamcommunity.com/id/solq5star3/,https://avatars.steamstatic.com/0eee9443f82a334e457469791a075c00e2dfeddf_full.jpg,0.0,,103582791429521408,1500350711.0,0.0,,,,,,,,,
76561198406797288,3.0,1.0,KaiT,1.0,https://steamcommunity.com/id/KaiT2521/,https://avatars.steamstatic.com/18cf9e93edbe79213f24fd277a0c8fc05e9ec68f_full.jpg,0.0,,103582791464733987,1500863265.0,0.0,,,,,,,,,
76561198408557351,3.0,1.0,COOK NguyenVu,,https://steamcommunity.com/id/nhv193970/,https://avatars.steamstatic.com/9efa1213c86eb29319b11ca7d91aa571d3493692_full.jpg,0.0,Nguyễn Hoàng Vũ,103582791435623121,1500882878.0,0.0,VN,51,,,,,,,
76561198417740114,3.0,1.0,Manh van me,1.0,https://steamcommunity.com/id/bluebvnn/,https://avatars.steamstatic.com/7f8599ecb5b0b6e3d4734fd60bca0cfb8536318e_full.jpg,0.0,ManhQuang,103582791464733987,1504257671.0,0.0,VN,51,46506.0,,,,,,
76561198419617145,3.0,1.0,Thầy Giáo Ba,,https://steamcommunity.com/id/banostreamer/,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,3.0,baroibeo,103582791429521408,1504515950.0,0.0,VN,52,,,,,,,
76561198431119658,3.0,1.0,SONBEAT,1.0,https://steamcommunity.com/id/sonbeat21/,https://avatars.steamstatic.com/6006a34001af7cb60ca173a0ec7603effc7dd018_full.jpg,0.0,Bui Son,103582791429521408,1507462266.0,0.0,VN,51,,,,,,,
76561198451268425,3.0,1.0,PewPew,,https://steamcommunity.com/profiles/76561198451268425/,https://avatars.steamstatic.com/809fecde0245d97219c4fe8d72634f2330af4409_full.jpg,0.0,,103582791429521408,1512458265.0,0.0,,,,,,,,,
76561198802682964,3.0,1.0,Hìen de Hors,1.0,https://steamcommunity.com/id/rynneko1509/,https://avatars.steamstatic.com/fd62a757a65e54b44f9358083edeb6e468e778ae_full.jpg,1.0,D e a d i n s i d e🖤🍗,103582791467779550,1515069343.0,0.0,VN,,,,,,,,
76561198831176799,3.0,1.0,Qbum,1.0,https://steamcommunity.com/id/qbum/,https://avatars.steamstatic.com/5cc45369e516e86eabab554edf82090a4c68a9f1_full.jpg,0.0,Tran Quynh,103582791429521408,1524237955.0,0.0,VN,51,,,,,,,
76561198831254639,3.0,1.0,TrungViolin,,https://steamcommunity.com/id/trungviolin93/,https://avatars.steamstatic.com/16caa75b81e52118e043640358929322e6b4dd02_full.jpg,0.0,Nguyễn Đức Trung,103582791429521408,1524199658.0,0.0,VN,51,,,,,,,
76561198833987531,3.0,1.0,Lữ Trố,,https://steamcommunity.com/id/refundfunkym/,https://avatars.steamstatic.com/8293e34ae780f4d7a8c3e56b8aaf35bd8a98a8ee_full.jpg,0.0,Nguyen Tu,103582791429521408,1525309422.0,0.0,VN,,,,,,,,
