sha1_id,gid
00d575612f6a91ab88280efa1ffef4b83465dd42,10104477
00d575612f6a91ab88280efa1ffef4b83465dd42,10109758
00d575612f6a91ab88280efa1ffef4b83465dd42,10128008
00d575612f6a91ab88280efa1ffef4b83465dd42,10408339
00d575612f6a91ab88280efa1ffef4b83465dd42,11172397
00d575612f6a91ab88280efa1ffef4b83465dd42,11600509
00d575612f6a91ab88280efa1ffef4b83465dd42,11739878
00d575612f6a91ab88280efa1ffef4b83465dd42,11877250
00d575612f6a91ab88280efa1ffef4b83465dd42,11978515
00d575612f6a91ab88280efa1ffef4b83465dd42,12619756
00d575612f6a91ab88280efa1ffef4b83465dd42,12714572
00d575612f6a91ab88280efa1ffef4b83465dd42,12737368
00d575612f6a91ab88280efa1ffef4b83465dd42,14543959
00d575612f6a91ab88280efa1ffef4b83465dd42,16801113
00d575612f6a91ab88280efa1ffef4b83465dd42,18768835
00d575612f6a91ab88280efa1ffef4b83465dd42,21205989
00d575612f6a91ab88280efa1ffef4b83465dd42,21206554
00d575612f6a91ab88280efa1ffef4b83465dd42,21375249
00d575612f6a91ab88280efa1ffef4b83465dd42,21815227
00d575612f6a91ab88280efa1ffef4b83465dd42,22704802
00d575612f6a91ab88280efa1ffef4b83465dd42,23954849
00d575612f6a91ab88280efa1ffef4b83465dd42,23954906
00d575612f6a91ab88280efa1ffef4b83465dd42,23954989
00d575612f6a91ab88280efa1ffef4b83465dd42,24097642
00d575612f6a91ab88280efa1ffef4b83465dd42,24117656
00d575612f6a91ab88280efa1ffef4b83465dd42,24131698
00d575612f6a91ab88280efa1ffef4b83465dd42,24188295
00d575612f6a91ab88280efa1ffef4b83465dd42,24286154
00d575612f6a91ab88280efa1ffef4b83465dd42,24346056
00d575612f6a91ab88280efa1ffef4b83465dd42,24468854
00d575612f6a91ab88280efa1ffef4b83465dd42,24672071
00d575612f6a91ab88280efa1ffef4b83465dd42,24714686
00d575612f6a91ab88280efa1ffef4b83465dd42,24781197
00d575612f6a91ab88280efa1ffef4b83465dd42,24983848
00d575612f6a91ab88280efa1ffef4b83465dd42,25027297
00d575612f6a91ab88280efa1ffef4b83465dd42,25150682
00d575612f6a91ab88280efa1ffef4b83465dd42,25236715
