source,target,weight
76561198067558048,76561198071696864,1.0
76561198002054432,76561199018006800,1.0
76561198124627152,76561198127644112,1.0
76561198042905312,76561198802359888,1.0
76561198201420640,76561199483998176,1.0
76561198061911360,76561198167001488,1.0
76561198076835776,76561198090648880,1.0
76561198218306592,76561198347475200,1.0
76561198002054432,76561198204143888,1.0
76561198093189376,76561198256675360,1.0
76561198291164464,76561198327636736,1.0
76561198077886336,76561198298601568,1.0
76561198244108288,76561198266712192,1.0
76561198027542976,76561198425844064,1.0
76561198094608736,76561198132321056,1.0
76561198254762896,76561198271595184,1.0
76561198039989952,76561198258053056,1.0
76561198110181824,76561198135524240,1.0
76561198027542976,76561199203331680,1.0
76561197964241680,76561199439054976,1.0
76561198047045664,76561198153158512,1.0
76561198258826112,76561198277929264,1.0
76561198061068080,76561198839491408,1.0
76561198091406304,76561198101135760,1.0
76561198120446752,76561198203851360,1.0
76561198258927792,76561198955551424,1.0
76561198138576720,76561198346512688,1.0
76561198094820480,76561198855090384,1.0
76561198116980096,76561198133396496,1.0
76561198109376976,76561198135543200,1.0
76561198032543424,76561198113419424,1.0
76561198100652320,76561198133396496,1.0
76561198099407568,76561198124501632,1.0
76561198064101520,76561198206161808,1.0
76561198013657760,76561198050281888,1.0
76561198208032416,76561198237236848,1.0
76561198095073824,76561198100664960,1.0
76561198037085952,76561198301329472,1.0
76561198078629248,76561198080178528,1.0
76561198084829296,76561198188686224,1.0
76561198099249696,76561198236239008,1.0
76561198139271488,76561198299665200,1.0
76561198214747360,76561198346202880,1.0
76561198293303696,76561198406797280,1.0
76561198012516160,76561198207636256,1.0
76561198082197904,76561198084795632,1.0
76561198133396496,76561198317783440,1.0
76561198125504880,76561198167865472,1.0
76561198037085952,76561199439483680,1.0
76561198093581648,76561198256675360,1.0
76561198146706032,76561198354934896,1.0
76561198143462048,76561198181034656,1.0
76561198274953968,76561199124905696,1.0
76561198061377664,76561198129452784,1.0
76561198208032416,76561199095656448,1.0
76561198191784480,76561198198479536,1.0
76561198123069488,76561199439054976,1.0
76561198168126944,76561198254354352,1.0
76561198077470416,76561198107648608,1.0
76561197995262352,76561198130197712,1.0
76561198061911360,76561198277861776,1.0
76561198085405952,76561198393371728,1.0
76561198064066160,76561198274350864,1.0
76561198033707824,76561198082652768,1.0
76561198112184784,76561198276059744,1.0
76561198134983856,76561198146706032,1.0
76561198275947376,76561198315701408,1.0
76561198042663536,76561198078393632,1.0
76561198255414272,76561198277929264,1.0
76561198100664960,76561198131097792,1.0
76561198149601664,76561198166089424,1.0
76561198071696864,76561198273297936,1.0
76561198071948544,76561198189145696,1.0
76561198116685136,76561198818523792,1.0
76561198120446752,76561198158988224,1.0
